rep1_120_8.675_1041	120	8.675	1041	0
rep2_117_2.00855_235	117	2.00855	235	0
rep3_36_2_72	36	2	72	0
rep4_30_2.13333_64	30	2.13333	64	0
rep5_48_5.25_252	48	5.25	252	0
rep6_33_3.06061_101	33	3.06061	101	0
rep7_207_3.00483_622	207	3.00483	622	0
rep8_78_2.12821_166	78	2.12821	166	0
rep9_87_2.06897_180	87	2.06897	180	0
rep10_63_4.09524_258	63	4.09524	258	0
rep11_78_3.76923_294	78	3.76923	294	0
rep12_73_2.08219_152	73	2.08219	152	0
rep13_96_3.85417_370	96	3.85417	370	0
rep14_30_2.16667_65	30	2.16667	65	0
rep15_39_2.25641_88	39	2.25641	88	0
rep16_32_2.03125_65	32	2.03125	65	0
rep17_77_2.83117_218	77	2.83117	218	0
rep18_30_2.03333_61	30	2.03333	61	0
rep19_42_3.61905_152	42	3.61905	152	0
rep20_32_2.03125_65	32	2.03125	65	0
rep21_77_2.83117_218	77	2.83117	218	0
rep22_77_2.83117_218	77	2.83117	218	0
rep23_77_2.83117_218	77	2.83117	218	0
rep24_77_3.22078_248	77	3.22078	248	0
rep25_77_2.83117_218	77	2.83117	218	0
rep26_77_2.83117_218	77	2.83117	218	0
rep27_77_2.83117_218	77	2.83117	218	0
rep28_39_2.38462_93	39	2.38462	93	0
rep29_42_2.40476_101	42	2.40476	101	0
rep30_38_2.15789_82	38	2.15789	82	0
rep31_77_2.83117_218	77	2.83117	218	0
rep32_78_3.29487_257	78	3.29487	257	0
rep33_36_3.55556_128	36	3.55556	128	0
rep34_30_2.1_63	30	2.1	63	0
rep35_64_2.10938_135	64	2.10938	135	0
rep36_45_2.11111_95	45	2.11111	95	0
rep37_36_2.19444_79	36	2.19444	79	0
rep38_228_2.32018_529	228	2.32018	529	0
rep39_228_3.98246_909	228	3.98246	909	0
rep40_39_2.4359_95	39	2.4359	95	0
rep41_51_2.23529_115	51	2.23529	115	0
rep42_77_2.83117_218	77	2.83117	218	0
rep43_78_2.83117_219	78	2.83117	219	0
rep44_72_3.08333_222	72	3.08333	222	0
rep45_43_4_172	43	4	172	0
rep46_31_3.25806_101	31	3.25806	101	0
rep47_30_2.26667_68	30	2.26667	68	0
rep48_77_2.49351_192	77	2.49351	192	0
rep49_30_2.13333_64	30	2.13333	64	0
rep50_34_2.17647_74	34	2.17647	74	0
rep51_84_3.12048_262	84	3.12048	262	0
rep52_42_2.11905_89	42	2.11905	89	0
rep53_92_2.07609_191	92	2.07609	191	0
rep54_45_3.13333_141	45	3.13333	141	0
rep55_77_3.87013_299	77	3.87013	299	0
rep56_77_3.87013_299	77	3.87013	299	0
rep57_35_2_70	35	2	70	0
rep58_48_3.02083_145	48	3.02083	145	0
rep59_72_2.11111_152	72	2.11111	152	0
rep60_39_2.23077_87	39	2.23077	87	0
rep61_36_2.25_81	36	2.25	81	0
rep62_39_3.69231_144	39	3.69231	144	0
rep63_96_2.35417_226	96	2.35417	226	0
rep64_36_2.25_81	36	2.25	81	0
rep65_39_4.69231_183	39	4.69231	183	0
rep66_174_2.1092_367	174	2.1092	367	0
rep67_39_2.23077_87	39	2.23077	87	0
rep68_38_2_76	38	2	76	0
rep69_40_2.09756_85	40	2.09756	85	0
rep70_47_2_94	47	2	94	0
rep71_133_2_266	133	2	266	0
rep72_39_3.94872_154	39	3.94872	154	0
rep73_35_2.14286_75	35	2.14286	75	0
rep74_77_2.87013_221	77	2.87013	221	0
rep75_42_2.19048_92	42	2.19048	92	0
rep76_66_2_132	66	2	132	0
rep77_107_2.06542_221	107	2.06542	221	0
rep78_30_2.03333_61	30	2.03333	61	0
rep79_42_2.19048_92	42	2.19048	92	0
rep80_40_2.35_94	40	2.35	94	0
rep81_49_2.12245_104	49	2.12245	104	0
rep82_90_2.01111_181	90	2.01111	181	0
rep83_144_2.01389_289	144	2.01389	289	0
rep84_36_2.19444_79	36	2.19444	79	0
rep85_77_2.83117_218	77	2.83117	218	0
rep86_77_2.83333_219	77	2.83333	219	0
rep87_77_2.87179_222	77	2.87179	222	0
rep88_51_2.01961_103	51	2.01961	103	0
rep89_37_2.27027_84	37	2.27027	84	0
rep90_77_2.83117_218	77	2.83117	218	0
rep91_77_2.83117_218	77	2.83117	218	0
rep92_34_2_68	34	2	68	0
rep93_150_2.6_390	150	2.6	390	0
rep94_77_3.83117_295	77	3.83117	295	0
rep95_77_3.83117_295	77	3.83117	295	0
rep96_34_2.17647_74	34	2.17647	74	0
rep97_35_2_70	35	2	70	0
rep98_108_4.22222_456	108	4.22222	456	0
rep99_52_2.86275_148	52	2.86275	148	0
rep100_32_2.13793_66	32	2.13793	66	0
rep101_63_10.9206_688	63	10.9206	688	0
rep102_77_2.87013_221	77	2.87013	221	0
rep103_54_2.11111_114	54	2.11111	114	0
rep104_33_2.0303_67	33	2.0303	67	0
rep105_77_2.83117_218	77	2.83117	218	0
rep106_77_2.83117_218	77	2.83117	218	0
rep107_48_3.02083_145	48	3.02083	145	0
rep108_77_2.42857_187	77	2.42857	187	0
rep109_77_4.87013_375	77	4.87013	375	0
rep110_77_4.87013_375	77	4.87013	375	0
rep111_77_2.49351_192	77	2.49351	192	0
rep112_137_2.0073_275	137	2.0073	275	0
rep113_77_3.82051_297	77	3.82051	297	0
rep114_63_8.12698_512	63	8.12698	512	0
rep115_51_2.82353_144	51	2.82353	144	0
rep116_45_2.02222_91	45	2.02222	91	0
rep117_48_2.3125_111	48	2.3125	111	0
rep118_36_3.27778_118	36	3.27778	118	0
rep119_35_2_70	35	2	70	0
rep120_48_2.125_103	48	2.125	103	0
rep121_109_2.53211_276	109	2.53211	276	0
